interview__key,interview__id,nm00,nema1a,nema1b,nema2a,nema2b,nema4__1,nema4__2,nema4__3,nema4__4,nema4__5,nema4__6,nema4__7,nema4__96,nema4_others,nema5__1,nema5__2,nema5__3,nema5__4,nema5__5,nema5__96,nema5_others,nema6,nema7_1,nema7_2__0,nema7_2__0c,nema8__1,nema8__2,nema8__3,nema8__4,nema8__5,nema8__6,nema8__7,nema8__96,nema8_others,nema9__1,nema9__2,nema9__3,nema9__4,nema9__5,nema9__6,nema9__7,nema9__96,nema9_others
81-18-06-16,0336c473bb26469c983fe271d649b4a5,Nyamira,46.0,37.0,38.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,21.0,Yes,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
63-89-07-92,8527c39f0adb4eeca1a502a8aed66757,Nyandarua,69.0,40.0,62.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,15.0,Yes,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
33-85-38-07,480ede0a8f6c42babcaa3aa3844d129d,Kitui,98.0,54.0,61.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,30.0,Yes,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
44-49-28-75,575ae20556b9451087cf796e1c5ef5cb,Kisumu,167.0,117.0,134.0,113.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Land ownership and proximity to sensitive environment,1.0,1.0,0.0,1.0,1.0,1.0,0.1%of the total bill of quantities,21.0,Yes,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inadequate public participation and land ownership related issues.,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
52-35-64-52,db03c9d957cb42d7be6e248c0bd307b7,Makueni,45.0,30.0,29.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Zonation of the area.    impact on existing resources.  prove on land ownership. risk assessment.,1.0,1.0,0.0,1.0,1.0,0.0,,21.0,Yes,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"Land ownership challenges .Weak planning frame works . inadequate resources ( staff , equipments and money). incomplete submission of applications.",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cooperation with lead agencies In the makueni county environment committee.
76-35-36-85,5b0ffebf4870444aa8490a025d3a5b1e,Laikipia,17.0,42.0,13.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,,30.0,Yes,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
25-24-89-50,f8d27fffea994fb489e0961624b3a6c0,Bomet,17.0,30.0,17.0,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Approvals from other relevant government agencies like physical plan department,1.0,0.0,0.0,0.0,0.0,0.0,,13.0,Yes,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
04-99-86-41,2514d9c5adab4031981da5aa3fc256df,Kakamega,106.0,98.0,76.0,74.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,21.0,Yes,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
04-00-15-50,8cf4a006a0a64698a9b779c2ecd4d859,Nandi,13.0,13.0,13.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,20.0,Yes,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
56-52-73-55,a9075170f1ae4f4e9bb62cf1a8058e4a,Kajiado,151.0,281.0,130.0,236.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,County approvals and compliance to zonation to or spatial planning,1.0,1.0,0.0,1.0,1.0,1.0,Technology and material to be used,35.0,Yes,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
51-01-84-88,e1c193b49f4443dea2679acbeaf848f9,Nakuru,613.0,501.0,515.0,458.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,30.0,Yes,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
73-28-49-57,ea04296b40bc44f5b4ead5ddd8f2fcf0,Uasin Gishu,53.0,112.0,47.0,101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,21.0,Yes,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
54-60-76-56,2b4202ef8e6e4030aff5a866b81ecb7e,Nyeri,59.0,68.0,50.0,59.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,21.0,Yes,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
62-97-07-41,d192fa33e2c740d9a39159bf53247182,Mandera,6.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Evidence of land ownership,1.0,0.0,0.0,0.0,0.0,0.0,,21.0,Yes,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
21-72-88-65,980fbb6675bf4a73ad8b43f2ff74f5b0,Meru,84.0,95.0,70.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,21.0,Yes,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
10-79-78-27,ec17cc4c129b4eff996fedc22db266e3,Vihiga,158.0,123.0,130.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,13.0,Yes,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
20-24-41-54,192ec67ffdc246a8829e6f6658f97352,Mombasa,112.0,174.0,103.0,167.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Environmental Sensitive Sites eg historical sites, burial sites, riparian areas etc",1.0,0.0,0.0,0.0,0.0,0.0,,21.0,Yes,,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
01-06-77-41,84523b8541f14fcf83482caec1a2bbd6,Samburu,22.0,13.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Land ownership and Cost/BQ,1.0,0.0,0.0,0.0,1.0,0.0,,21.0,Yes,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
