interview__key,interview__id,land_parcels__id,i01_3,i02__0,i02__1,i02__2,i02__3,i02__4,i02__5,i02__6,i02__7,i03,i04,i05,i06,i07__1,i07__2,i07__3,i07__4,i07__5,i07__6,i07__7,i07__8,i07__9,i07__10,i07__11,i07__96,i08,i09,i10,i11,i12,i13
91-16-60-21,b5b96f9fc5404c658369e1f961e51db6,1,Inherited,1.0,,,,,,,,Nyamira,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
50-35-40-96,3a7be699833d4f1ab8c60216cbcd7efd,1,Allocated By Family Member,1.0,,,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Slightly Likely,Community/ other conflicts
18-05-19-51,f5ca3ce709e24eddb14b9e256668faf3,1,Purchased,1.0,,,,,,,,Busia,Community land,Customary,Allotment letters,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
81-78-79-99,017ca0f18b454a989f1f80b85542db50,1,Allocated By Government,1.0,,,,,,,,Turkana,Private,Freehold,Settlement Scheme legal documents,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,No,Government Official,Not at all Likely,
87-04-89-81,ac139784ab384e72ab43cb2a5419f741,1,Inherited,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
08-02-61-64,f4f431f42f994fc1bd3164b27ae0ccd6,1,Inherited,1.0,,,,,,,,Embu,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
19-78-82-87,d4ecd9727c3d4d9c8f8a1e98c9592570,1,Inherited,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Divorce
82-44-53-20,9a800040750f41efbbd6cbd62a9b9090,1,Rented In Short-Term (&lt; 3 Years),1.0,,,,,,,,Kitui,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Owner or Landlord,No,Other (Specify),Not at all Likely,
82-44-53-20,9a800040750f41efbbd6cbd62a9b9090,2,Rented In Short-Term (&lt; 3 Years),1.0,,,,,,,,Kitui,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Owner or Landlord,No,Other (Specify),Not at all Likely,
33-71-68-34,6b6451535c9f444890b1f1aae5733cd3,1,Inherited,1.0,,,,,,,,Isiolo,Community land,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Slightly Likely,Community/ other conflicts
