countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,250.0,3.77
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,582.5,8.78
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,137.45,2.07
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,89.35,1.35
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,cereals and tubers,Bread,55,KG,aggregate,Retail,AFN,50.0,0.75
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,126.5,1.91
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,58.3,0.88
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,31.0,0.47
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,32.6,0.49
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,30.0,0.45
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,22.0,0.33
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,53.6,0.81
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,66.3,1.0
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,58.95,0.89
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,300.0,4.52
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,640.0,9.65
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,126.15,1.9
AFG,2026-01-15,Zabul,Qalat,Zabul,3242,32.2,67.15,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,107.0,1.61
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,cereals and tubers,Bread,55,KG,aggregate,Retail,AFN,77.0,1.19
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,130.0,2.0
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,55.71,0.86
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,27.0,0.42
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,31.04,0.48
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,28.0,0.43
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,25.0,0.38
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,65.0,1.0
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,64.36,0.99
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,63.64,0.98
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,300.0,4.62
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,500.0,7.7
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,126.07,1.94
AFG,2026-02-15,Badakhshan,Argo,Badakhshan,3690,37.04,70.46,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,74.86,1.15
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,152.0,2.34
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,110.0,1.69
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,28.57,0.44
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,29.79,0.46
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,28.29,0.44
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,10.0,0.15
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,50.0,0.77
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,64.61,0.99
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,59.54,0.92
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,250.0,3.85
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,500.0,7.7
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,128.96,1.99
AFG,2026-02-15,Badghis,Jawand,Badghis,3220,35.14,63.73,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,87.96,1.35
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,cereals and tubers,Bread,55,KG,aggregate,Retail,AFN,63.0,0.97
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,135.57,2.09
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,52.32,0.81
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,25.54,0.39
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,27.75,0.43
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,26.75,0.41
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,25.0,0.38
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,55.0,0.85
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,65.14,1.0
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,60.64,0.93
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,250.0,3.85
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,400.0,6.16
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,123.75,1.91
AFG,2026-02-15,Baghlan,Dushi,Baghlan,3221,35.8,68.91,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,77.0,1.19
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,cereals and tubers,Bread,55,KG,aggregate,Retail,AFN,56.0,0.86
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,133.57,2.06
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,60.0,0.92
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,26.71,0.41
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,28.0,0.43
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,26.21,0.4
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,25.0,0.38
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,55.0,0.85
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,64.89,1.0
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,59.64,0.92
AFG,2026-02-15,Balkh,Nahr-e- Shahi,Balkh,3691,36.67,67.08,non-food,"Wage (non-qualified labour, non-agricultural)",465,Day,aggregate,Retail,AFN,250.0,3.85
