date,price,observations,year,month,quarter,day_of_year,month_sin,month_cos,price_lag_1m,price_lag_3m,price_lag_6m,price_lag_12m,price_rolling_mean_3m,price_rolling_std_3m,price_rolling_mean_6m,price_rolling_std_6m,price_rolling_mean_12m,price_rolling_std_12m,inflation_mom,inflation_yoy,season,season_harvest_long,season_harvest_short,season_lean,season_normal
2012-04-01,56.4775,4,2012,4,2,92,0.8660254037844387,-0.4999999999999998,54.775,57.5625,57.30666666666667,45.725,54.92583333333334,1.4820179092488404,55.833888888888886,1.4915126239521228,56.12291666666666,2.297058299392789,3.1081697854860804,23.515582285401855,harvest_long,True,False,False,False
2012-05-01,55.730000000000004,4,2012,5,2,122,0.49999999999999994,-0.8660254037844387,56.4775,53.525,56.95333333333334,51.65,55.66083333333333,0.8533548988166314,55.629999999999995,1.3878949888234056,56.462916666666665,1.82909429000213,-1.3235359213846136,7.899322362052286,harvest_long,True,False,False,False
2012-06-01,57.8975,4,2012,6,2,153,1.2246467991473532e-16,-1.0,55.730000000000004,54.775,55.71,53.65,56.701666666666675,1.101000491977361,55.99458333333333,1.671460003011683,56.816875,1.6360577975102726,3.889287636820378,7.917054986020508,normal,False,False,False,True
2012-07-01,59.83,4,2012,7,3,183,-0.4999999999999997,-0.8660254037844388,57.8975,56.4775,57.5625,58.95,57.81916666666667,2.0511221522216627,56.3725,2.2522888358292716,56.890208333333334,1.755710240935986,3.337795241590738,1.4927905004240805,normal,False,False,False,True
2012-08-01,59.037499999999994,4,2012,8,3,214,-0.8660254037844385,-0.5000000000000004,59.83,55.730000000000004,53.525,58.4725,58.92166666666666,0.9714432990836249,57.29125,1.9643515151319653,56.93729166666666,1.8087744583105407,-1.3245863279291392,0.9662661935097657,normal,False,False,False,True
2012-09-01,59.3,4,2012,9,3,245,-1.0,-1.8369701987210297e-16,59.037499999999994,57.8975,54.775,58.442499999999995,59.38916666666666,0.4037042027704191,58.04541666666666,1.6482926140913137,57.00875,1.888813443606518,0.44463264874021236,1.4672541386833244,normal,False,False,False,True
2012-10-01,61.83,4,2012,10,4,275,-0.8660254037844386,0.5000000000000001,59.3,59.83,56.4775,57.30666666666667,60.05583333333333,1.542069091621555,58.9375,2.03342936931711,57.38569444444445,2.348973282948954,4.266441821247894,7.893206142391797,harvest_short,False,True,False,False
2012-11-01,61.955,4,2012,11,4,306,-0.5000000000000004,0.8660254037844384,61.83,59.037499999999994,55.730000000000004,56.95333333333334,61.02833333333333,1.49808488856091,59.974999999999994,1.6144960514047324,57.8025,2.6849974606389546,0.20216723273491832,8.782043778532115,harvest_short,False,True,False,False
2012-12-01,62.307500000000005,4,2012,12,4,336,-2.4492935982947064e-16,1.0,61.955,59.3,57.8975,55.71,62.030833333333334,0.24761781707821734,60.71,1.4775782551193475,58.352291666666666,2.8855524637120413,0.5689613429101869,11.842577634176994,normal,False,False,False,True
2013-01-01,61.05,4,2013,1,1,1,0.49999999999999994,0.8660254037844387,62.307500000000005,61.83,59.83,57.5625,61.770833333333336,0.6486636904703242,60.91333333333333,1.4148724913108663,58.64291666666666,2.973073828956414,-2.018216105605276,6.0586319218241,lean,False,False,True,False
2013-02-01,59.32,4,2013,2,1,32,0.8660254037844386,0.5000000000000001,61.05,61.955,59.037499999999994,53.525,60.892500000000005,1.499964582915623,60.96041666666667,1.3428313526531233,59.12583333333333,2.4990492131405304,-2.833742833742829,10.826716487622608,lean,False,False,True,False
2013-03-01,63.9,3,2013,3,1,60,1.0,6.123233995736766e-17,59.32,62.307500000000005,59.3,54.775,61.423333333333325,2.3127112516123933,61.72708333333333,1.5082095483281743,59.88625,2.44246208214757,7.720836142953471,16.659059790050208,lean,False,False,True,False
2013-04-01,62.349999999999994,4,2013,4,2,91,0.8660254037844387,-0.4999999999999998,63.9,61.05,61.83,56.4775,61.85666666666666,2.3295135400625084,61.81375,1.5300880285139202,60.37562500000001,2.280320233940746,-2.4256651017214463,10.397946084723998,harvest_long,True,False,False,False
2013-05-01,61.5125,4,2013,5,2,121,0.49999999999999994,-0.8660254037844387,62.349999999999994,59.32,61.955,55.730000000000004,62.5875,1.2113396509655074,61.74,1.5325803404721101,60.857499999999995,1.761266976820321,-1.3432237369687114,10.375919612417007,harvest_long,True,False,False,False
2013-06-01,60.5875,4,2013,6,2,152,1.2246467991473532e-16,-1.0,61.5125,63.9,62.307500000000005,57.8975,61.48333333333333,0.8816119233169275,61.45333333333334,1.565704048237805,61.08166666666667,1.5024515320176055,-1.5037593984962474,4.646141888682582,normal,False,False,False,True
2013-07-01,60.5,4,2013,7,3,182,-0.4999999999999997,-0.8660254037844388,60.5875,62.349999999999994,61.05,59.83,60.86666666666667,0.5610165624423058,61.36166666666667,1.6095276222134995,61.137499999999996,1.4636574673808171,-0.1444192283886917,1.1198395453785754,normal,False,False,False,True
2013-08-01,58.86,4,2013,8,3,213,-0.8660254037844385,-0.5000000000000004,60.5,61.5125,59.32,59.037499999999994,59.982499999999995,0.9730975028234586,61.285000000000004,1.7324873736918165,61.12270833333334,1.4875118251381014,-2.7107438016528937,-0.300656362481465,normal,False,False,False,True
2013-09-01,54.1575,4,2013,9,3,244,-1.0,-1.8369701987210297e-16,58.86,60.5875,63.9,59.3,57.839166666666664,3.2921728513756103,59.661249999999995,2.937727331629233,60.69416666666666,2.4740046973329823,-7.989296636085628,-8.67200674536256,normal,False,False,False,True
2013-10-01,58.1375,4,2013,10,4,274,-0.8660254037844386,0.5000000000000001,54.1575,60.5,62.349999999999994,61.83,57.05166666666667,2.5323214810396077,58.95916666666667,2.656543650435283,60.38645833333334,2.5484024537520122,7.348935973780185,-5.97202005498948,harvest_short,False,True,False,False
2013-11-01,58.730000000000004,4,2013,11,4,305,-0.5000000000000004,0.8660254037844384,58.1375,58.86,61.5125,61.955,57.00833333333333,2.486604528937933,58.49541666666667,2.346433153036321,60.11770833333333,2.537979121433963,1.0191356697484433,-5.205391009603735,harvest_short,False,True,False,False
2013-12-01,57.675000000000004,4,2013,12,4,335,-2.4492935982947064e-16,1.0,58.730000000000004,54.1575,60.5875,62.307500000000005,58.18083333333334,0.5288332282814756,58.01,2.117131904251897,59.73166666666666,2.5269100186642155,-1.7963562063681247,-7.434899490430526,normal,False,False,False,True
