adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource,date
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,6,2010,40.0,,2010-06-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,7,2010,45.0,,2010-07-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,8,2010,50.0,,2010-08-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,9,2010,50.0,,2010-09-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,10,2010,60.0,,2010-10-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,11,2010,60.0,,2010-11-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,12,2010,60.0,,2010-12-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,1,2011,60.0,,2011-01-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,2,2011,70.0,,2011-02-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,3,2011,70.0,,2011-03-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,4,2011,80.0,,2011-04-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,5,2011,85.0,,2011-05-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,6,2011,85.0,,2011-06-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,7,2011,85.0,,2011-07-01
