ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-02-01,29.697547276200726,21.298648475526818,36.12376918295373,29.697547276200726,29.697547276200726,-0.8609721813671459,-0.8609721813671459,-0.8609721813671459,-0.8609721813671459,-0.8609721813671459,-0.8609721813671459,0.0,0.0,0.0,28.83657509483358
2008-03-01,30.122341514451627,21.329642472128747,36.68928217409212,30.122341514451627,30.122341514451627,-1.118559085414148,-1.118559085414148,-1.118559085414148,-1.118559085414148,-1.118559085414148,-1.118559085414148,0.0,0.0,0.0,29.00378242903748
2008-04-01,30.576431907064656,20.17904824483657,35.18943937438842,30.576431907064656,30.576431907064656,-2.7901568253097806,-2.7901568253097806,-2.7901568253097806,-2.7901568253097806,-2.7901568253097806,-2.7901568253097806,0.0,0.0,0.0,27.786275081754876
2008-05-01,31.015874224420905,25.076339149073416,39.78275196690069,31.015874224420905,31.015874224420905,1.5037472933865708,1.5037472933865708,1.5037472933865708,1.5037472933865708,1.5037472933865708,1.5037472933865708,0.0,0.0,0.0,32.51962151780748
2008-06-01,31.469964619022367,26.236556158465316,40.62452703516763,31.469964619022367,31.469964619022367,1.6119774961754574,1.6119774961754574,1.6119774961754574,1.6119774961754574,1.6119774961754574,1.6119774961754574,0.0,0.0,0.0,33.081942115197826
2008-07-01,31.909406936378616,25.896383353627293,40.58378041043151,31.909406936378616,31.909406936378616,1.4723914151147743,1.4723914151147743,1.4723914151147743,1.4723914151147743,1.4723914151147743,1.4723914151147743,0.0,0.0,0.0,33.38179835149339
2008-08-01,32.36349733098008,25.22924447873586,40.09148334293707,32.36349733098008,32.36349733098008,0.1792971454418465,0.1792971454418465,0.1792971454418465,0.1792971454418465,0.1792971454418465,0.1792971454418465,0.0,0.0,0.0,32.542794476421925
2008-09-01,32.81758772558153,24.33093085511541,39.89951616272045,32.81758772558153,32.81758772558153,-0.9837458500736239,-0.9837458500736239,-0.9837458500736239,-0.9837458500736239,-0.9837458500736239,-0.9837458500736239,0.0,0.0,0.0,31.833841875507908
2008-10-01,33.25703004057731,26.42501987071609,40.9229113480745,33.25703004057731,33.25703004057731,0.19524131484656496,0.19524131484656496,0.19524131484656496,0.19524131484656496,0.19524131484656496,0.19524131484656496,0.0,0.0,0.0,33.452271355423875
2008-11-01,33.711120432739605,26.60499347135769,41.59925436868066,33.711120432739605,33.711120432739605,0.26348894708744897,0.26348894708744897,0.26348894708744897,0.26348894708744897,0.26348894708744897,0.26348894708744897,0.0,0.0,0.0,33.97460937982705
2008-12-01,34.15056274773538,26.221282353434276,40.836275546098086,34.15056274773538,34.15056274773538,-0.5727170301693181,-0.5727170301693181,-0.5727170301693181,-0.5727170301693181,-0.5727170301693181,-0.5727170301693181,0.0,0.0,0.0,33.57784571756606
2009-01-01,34.60465313989768,27.923648062780472,42.16169332245351,34.60465313989768,34.60465313989768,0.4578676043070812,0.4578676043070812,0.4578676043070812,0.4578676043070812,0.4578676043070812,0.4578676043070812,0.0,0.0,0.0,35.06252074420476
2009-02-01,35.058743532059964,27.546512558382986,41.8869071637087,35.058743532059964,35.058743532059964,-0.5251274547540884,-0.5251274547540884,-0.5251274547540884,-0.5251274547540884,-0.5251274547540884,-0.5251274547540884,0.0,0.0,0.0,34.53361607730587
2009-03-01,35.4688896853405,27.03519421416223,41.98996647720454,35.4688896853405,35.4688896853405,-1.255411149031987,-1.255411149031987,-1.255411149031987,-1.255411149031987,-1.255411149031987,-1.255411149031987,0.0,0.0,0.0,34.213478536308514
2009-04-01,35.92298006932966,26.166783598764955,41.2598571592482,35.92298006932966,35.92298006932966,-2.0870431080715792,-2.0870431080715792,-2.0870431080715792,-2.0870431080715792,-2.0870431080715792,-2.0870431080715792,0.0,0.0,0.0,33.835936961258085
